sakurairo,1,桜色,ピーチ,アイボリー,サーモンピンク,ごくうすい紫みの赤
koubaiiro,2,珊瑚色,紅梅色,ブロンド,あやめ色,やわらかい赤
sanngoiro,3,スカーレット,牡丹色,珊瑚色,カーマイン,明るい赤
akaneiro,4,マリーゴールド,シアン,朱色,茜色,こい赤
syuiro,1,朱色,栗色,紅梅色,黄土色,あざやかな黄みの赤
wainnreddo,2,バイオレット,ワインレッド,モーブ,カーマイン,こい紫みの赤
borudo-,3,煉瓦色,オリーブ,ボルドー,珊瑚色,ごく暗い赤
ka-mainn,4,紅梅色,ピーチ,牡丹色,カーマイン,あざやかな赤
ba-mirionn,1,バーミリオン,サーモンピンク,マリーゴールド,マゼンタ,あざやかな黄みの赤
suka-retto,2,カナリヤ,スカーレット,ラベンダー,アイボリー,あざやかな黄みの赤
sa-monnpinnku,3,桜色,ピーチ,サーモンピンク,あやめ色,やわらかい黄みの赤
renngairo,4,バーミリオン,ボルドー,黄土色,煉瓦色,暗い黄赤
kuriiro,1,栗色,ワインレッド,カーキー,浅葱色,暗い灰みの黄赤
tyokore-to,2,山吹色,チョコレート,ブロンド,煉瓦色,ごく暗い黄赤
pi-ti,3,紅梅色,サーモンピンク,ピーチ,桜色,明るい灰みの黄赤
yamabukiiro,4,スカーレット,からし色,カナリヤ,山吹色,あざやかな赤みの黄
oudoiro,1,黄土色,栗色,煉瓦色,ボルドー,くすんだ赤みの黄
karasiiro,2,山吹色,からし色,レモンイエロー,鶯色,やわらかい黄
mari-go-rudo,3,ピーチ,スカーレット,マリーゴールド,サーモンピンク,あざやかな赤みの黄
be-ju,4,セピア,アイボリー,シルバーグレイ,ベージュ,明るい灰みの赤みを帯びた黄
sepia,1,セピア,オリーブ,カナリヤ,チョコレート,ごく暗い赤いみの黄
ka-ki-,2,ベージュ,カーキー,鶯色,セピア,くすんだ赤みの黄
buronndo,3,クリームイエロー,ベージュ,ブロンド,山吹色,やわらかい黄
kuri-muiero-,4,カナリヤ,生成り色,ビリジアン,クリームイエロー,ごくうすい黄
kanariya,1,カナリヤ,クリームイエロー,山吹色,からし色,明るい緑みの黄
ori-bu,2,カーキー,オリーブ,セピア,黄土色,暗い緑みの黄
remonniero-,3,ブロンド,山吹色,レモンイエロー,バーミリオン,あざやかな緑みの黄
uguisuiro,4,カーキー,オリーブグリーン,萌黄,鶯色,くすんだ黄緑
moegi,1,萌黄,若竹色,コバルトグリーン,カーキー,つよい黄緑
ori-buguri-nn,2,青磁色,オリーブグリーン,ビリジアン,浅葱色,暗い灰みの黄緑
wakatakeiro,3,シアン,鶯色,若竹色,ビリジアン,つよい緑
seiziiro,4,コバルトグリーン,オリーブグリーン,煉瓦色,青磁色,やわらかい青みの緑
kobarutoguri-nn,1,コバルトグリーン,オリーブグリーン,セピア,バーミリオン,明るい緑
emerarudoguri-nn,2,浅葱色,エメラルドグリーン,鶯色,オリーブグリーン,つよい緑
biriziann,3,ビリジアン,シアン,モーブ,オリーブグリーン,くすんだ青みの緑
asagiiro,4,エメラルドグリーン,コバルトグリーン,群青色,浅葱色,あざやかな緑みの青
sorairo,1,空色,マリンブルー,ラベンダー,アイボリー,明るい青
aiiro,2,青磁色,藍色,ターコイズブルー,バイオレット,暗い青
ruriiro,3,空色,シアン,瑠璃色,あやめ色,こい紫みの青
gunnjouiro,4,茄子紺,パープル,藍色,群青色,こい紫みの青
ta-koizuburu-,1,ターコイズブルー,ラベンダー,セピア,スカイブルー,明るい緑みの青
marinnburu-,2,カーマイン,マリンブルー,ビリジアン,ブロンド,こい緑みの青
siann,3,瑠璃色,モーブ,シアン,マゼンタ,明るい青
sukaiburu-,4,浅葱色,エメラルドグリーン,コバルトブルー,スカイブルー,明るい青
bebi-buru-,1,ベビーブルー,ネービーブルー,コバルトブルー,コバルトグリーン,明るい灰みの青
kobarutoburu-,2,鶯色,コバルトブルー,マリンブルー,エメラルドグリーン,あざやかな青
ne-bi-buru-,3,バイオレット,茄子紺,ネービーブルー,群青色,暗い紫みの青
urutoramarinnburu-,4,バイオレット,ラベンダー,あやめ色,ウルトラマリンブルー,こい紫みの青
kikyouiro,1,桔梗色,あやめ色,ラベンダー,牡丹色,こい青紫
baioretto,2,バイオレット,桔梗色,あやめ色,アイボリー,あざやかな青紫
nasukonn,3,瑠璃色,ブロンド,茄子紺,パープル,ごく暗い紫
ayameiro,4,セピア,ネービーブルー,スカーレット,あやめ色,明るい赤みの紫
rabennda-,1,ラベンダー,山吹色,バーミリオン,ベビーブルー,灰みの青みを帯びた紫
mo-bu,2,ビリジアン,モーブ,ブロンド,マゼンタ,つよい青みの紫
pa-puru,3,マゼンタ,茄子紺,パープル,オリーブ,あざやかな紫
botanniro,4,茜色,サーモンピンク,桜色,牡丹色,あざやかな赤紫
mazennta,1,マゼンタ,桔梗色,浅葱色,朱色,あざやかな赤紫
kinariiro,2,シルバーグレイ,生成り色,クリームイエロー,セピア,赤みの帯びた黄みの白
aibori-,3,チャコールグレイ,鶯色,アイボリー,ベージュ,黄みのうすい灰色
siruba-gurei,4,ボルドー,カーキー,チャコールグレイ,シルバーグレイ,明るい灰色
tyako-rugurei,4,セピア,バーミリオン,シルバーグレイ,チャコールグレイ紫みの暗い灰色
